"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54
"2019-03-01 10:00:00",21.54,21.71,21.95,21.91,22.07,22.17,1314.33,22.07
"2019-03-01 11:00:00",22.14,22.4,22.72,22.75,22.94,24.09,1364.77,0
"2019-03-01 12:00:00",23.58,23.85,23.97,24.03,24.13,24.7,1441.91,23.95
"2019-03-01 13:00:00",24.28,24.97,25.3,25.19,25.38,26.29,1511.66,25.38
"2019-03-01 14:00:00",25.92,26.42,26.69,26.72,27,27.76,1603.04,0
"2019-03-01 15:00:00",27.23,27.76,28.03,27.96,28.2,28.54,1677.86,28.35
"2019-03-01 16:00:00",23.61,24.72,24.94,25.81,27.43,27.82,1548.32,24.94
"2019-03-01 17:00:00",22.56,22.85,23.06,23.09,23.31,23.62,1385.58,0
"2019-03-01 18:00:00",23.17,23.33,23.46,23.46,23.57,23.71,1407.39,0
"2019-03-01 19:00:00",23.58,23.72,23.8,23.81,23.91,24.02,1428.72,0
"2019-03-01 20:00:00",23.17,23.39,23.58,23.5,23.64,23.74,1410.22,0
"2019-03-01 21:00:00",22.96,23.02,23.08,23.08,23.13,23.2,1384.91,23.13
"2019-03-01 22:00:00",22.69,22.82,22.9,22.89,22.96,23.04,1373.21,22.94
"2019-03-01 23:00:00",22.5,22.55,22.59,22.59,22.64,22.68,1355.56,22.59
"2019-03-02 00:00:00",22.12,22.21,22.27,22.3,22.4,22.54,1337.85,22.26
"2019-03-02 01:00:00",21.84,21.91,22,22.01,22.09,22.2,1320.4,0
"2019-03-02 02:00:00",21.8,21.84,21.87,21.89,21.94,22.02,1313.14,21.81
"2019-03-02 03:00:00",21.75,21.81,21.83,21.83,21.85,21.93,1309.9,21.83
"2019-03-02 04:00:00",21.9,21.93,21.96,21.98,22.03,22.08,1318.76,21.92
"2019-03-02 05:00:00",21.98,22.05,22.08,22.08,22.12,22.19,1325.08,22.07
"2019-03-02 06:00:00",22.08,22.12,22.14,22.15,22.18,22.23,1328.95,22.13
"2019-03-02 07:00:00",21.9,22.01,22.04,22.03,22.06,22.11,1321.91,22.04
"2019-03-02 08:00:00",21.7,21.76,21.82,21.83,21.89,22,1309.66,0
"2019-03-02 09:00:00",21.78,21.84,21.88,21.89,21.94,22.06,1313.46,21.82
"2019-03-02 10:00:00",21.74,21.8,21.92,21.96,22.07,22.39,1317.43,21.79
"2019-03-02 11:00:00",22.18,22.65,22.9,23.01,23.38,24.04,1380.77,0
"2019-03-02 12:00:00",23.84,24.07,24.54,24.54,24.9,25.33,1472.17,0
"2019-03-02 13:00:00",25.13,25.84,25.98,25.97,26.16,26.67,1558.36,25.94
"2019-03-02 14:00:00",26.47,26.76,26.99,27.02,27.25,27.56,1621.3,0
"2019-03-02 15:00:00",27.35,27.61,27.77,27.88,28.03,29.13,1672.85,0
"2019-03-02 16:00:00",23.67,26.88,27.94,27.39,28.07,28.8,1643.56,27.98
"2019-03-02 17:00:00",23.41,24.1,24.42,24.55,25.32,25.83,1472.9,25.34
"2019-03-02 18:00:00",25.61,25.99,26.18,26.26,26.47,27.27,1575.31,25.8
"2019-03-02 19:00:00",25.29,25.42,25.86,25.9,26.34,26.6,1554.2,25.41
"2019-03-02 20:00:00",23.86,24.08,24.39,24.62,25.27,25.6,1477.21,24.39
"2019-03-02 21:00:00",23.35,23.4,23.45,23.54,23.7,23.96,1388.66,23.38
"2019-03-02 22:00:00",23.31,23.38,23.44,23.45,23.52,23.57,1406.92,23.52
"2019-03-02 23:00:00",23.39,23.56,23.75,23.68,23.78,23.84,1420.72,23.77
"2019-03-03 00:00:00",23.09,23.48,23.53,23.5,23.55,23.76,1409.93,0
"2019-03-03 01:00:00",22.65,22.69,22.78,22.82,22.93,23.09,1369.22,22.66
"2019-03-03 02:00:00",22.67,22.85,22.89,22.88,22.94,23.07,1372.92,22.94
"2019-03-03 03:00:00",22.33,22.45,22.62,22.63,22.85,22.91,1358.07,0
"2019-03-03 04:00:00",22.29,22.37,22.38,22.38,22.41,22.49,1343.03,22.37
"2019-03-03 05:00:00",22.22,22.35,22.38,22.37,22.4,22.45,1342.33,22.38
"2019-03-03 06:00:00",21.9,21.97,22.01,22.03,22.09,22.23,1321.72,22
"2019-03-03 07:00:00",21.93,22,22.05,22.06,22.1,22.23,1323.62,0
"2019-03-03 08:00:00",22.2,22.23,22.25,22.28,22.34,22.43,1336.62,0
"2019-03-03 09:00:00",22.34,22.39,22.41,22.41,22.43,22.49,1344.7,22.41
"2019-03-03 10:00:00",22.5,22.69,22.79,22.85,23.08,23.28,1371.25,22.7
"2019-03-03 11:00:00",23.28,23.61,23.91,23.91,24.22,24.46,1434.64,0
"2019-03-03 12:00:00",24.36,24.81,25.05,25.05,25.3,25.65,1503.29,0
"2019-03-03 13:00:00",25.59,26.24,26.51,26.66,27.25,27.61,1599.89,27.33
"2019-03-03 14:00:00",26.56,26.92,27.58,27.96,28.81,30.22,1677.38,26.9
"2019-03-03 15:00:00",28.45,29.21,29.59,29.68,30.11,30.97,1780.68,29.57
"2019-03-03 16:00:00",28.73,28.97,29.22,29.32,29.5,30.57,1759.01,0
"2019-03-03 17:00:00",27.32,27.76,28.02,28.05,28.28,29.03,1682.88,28.02
"2019-03-03 18:00:00",24.93,25.19,25.28,25.93,27.14,27.37,1555.84,25.19
"2019-03-03 19:00:00",24.75,24.93,25.06,25.11,25.33,25.71,1506.73,24.93
"2019-03-03 20:00:00",24.76,24.85,24.94,24.93,25,25.12,1495.84,24.78
"2019-03-03 21:00:00",20.82,21.43,22.89,22.53,23.31,24.74,1351.58,0
"2019-03-03 22:00:00",20.11,20.2,21.01,20.97,21.46,22.23,1258.3,20.15
"2019-03-03 23:00:00",20.11,20.21,20.3,20.3,20.38,20.53,1218.13,0
"2019-03-04 00:00:00",20.56,20.64,20.79,20.8,20.96,21.04,1248.04,20.97
"2019-03-04 01:00:00",20.63,20.67,20.72,20.77,20.84,21.02,1246.07,20.66
"2019-03-04 02:00:00",20.68,20.76,20.79,20.78,20.81,20.86,1246.79,20.8
"2019-03-04 03:00:00",20.73,20.83,20.88,20.88,20.93,21.02,1252.79,20.9
"2019-03-04 04:00:00",20.74,20.8,20.83,20.83,20.85,20.9,1249.52,20.83
"2019-03-04 05:00:00",20.75,20.8,20.84,20.86,20.91,21.01,1251.62,0
"2019-03-04 06:00:00",20.76,20.81,20.92,21,21.22,21.37,1259.81,20.81
"2019-03-04 07:00:00",21.11,21.17,21.2,21.22,21.28,21.36,1273.49,21.16
"2019-03-04 08:00:00",21.24,21.27,21.28,21.3,21.31,21.38,1277.7,21.28
"2019-03-04 09:00:00",21.21,21.28,21.37,21.35,21.41,21.53,1281.14,0
"2019-03-04 10:00:00",21.5,21.65,21.76,21.76,21.86,22.01,1305.62,21.85
"2019-03-04 11:00:00",22.01,22.46,22.68,22.6,22.77,22.9,1356.01,22.66
"2019-03-04 12:00:00",22.69,22.78,22.86,22.87,22.95,23.06,1372.09,0
"2019-03-04 13:00:00",22.91,23.51,23.66,23.78,24.27,24.49,1426.77,0
"2019-03-04 14:00:00",24.41,25.39,25.85,25.74,26.25,26.82,1544.47,26.22
"2019-03-04 15:00:00",25.02,25.23,25.33,25.4,25.54,25.96,1524.12,0
"2019-03-04 16:00:00",25.21,25.85,26.36,26.2,26.56,27.03,1571.92,0
"2019-03-04 17:00:00",26.37,26.66,27.1,27.18,27.75,28.51,1631.01,0
"2019-03-04 18:00:00",27.1,27.39,27.7,27.86,28.16,29.26,1671.8,0
"2019-03-04 19:00:00",27,27.14,27.34,27.54,27.9,28.66,1652.34,27.08
"2019-03-04 20:00:00",26.09,26.62,27.1,26.98,27.3,28.01,1619.05,0
"2019-03-04 21:00:00",24.82,24.96,25.09,25.28,25.64,26.12,1516.86,25.03
"2019-03-04 22:00:00",23.65,24.04,24.16,24.25,24.47,25.04,1454.78,24.13
"2019-03-04 23:00:00",22.85,22.98,23.07,23.1,23.19,23.74,1386.27,0
"2019-03-05 00:00:00",22.62,22.72,22.82,22.83,22.92,23.2,1369.61,0
"2019-03-05 01:00:00",22.61,22.96,23.1,23.08,23.22,23.39,1384.58,23.2
"2019-03-05 02:00:00",22.93,23.07,23.13,23.15,23.25,23.32,1389.12,0
"2019-03-05 03:00:00",22.5,22.59,22.94,22.84,23.06,23.1,1370.34,23.08
"2019-03-05 04:00:00",21.95,22.1,22.17,22.22,22.36,22.58,1333.31,22.36
"2019-03-05 05:00:00",22.1,22.21,22.23,22.22,22.25,22.32,1333.43,22.23
