"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",20.94,20.94,20.94,20.94,20.94,20.94,20.944,20.944
"2019-03-01 10:00:00",20.94,21.11,21.3,21.28,21.45,21.58,1277.041,21.445
"2019-03-01 11:00:00",21.38,21.66,22.2,22.12,22.37,23.42,1327.258,0
"2019-03-01 12:00:00",22.97,23.18,23.28,23.33,23.44,23.84,1399.909,0
"2019-03-01 13:00:00",23.4,23.84,24.28,24.19,24.41,25.13,1451.584,0
"2019-03-01 14:00:00",24.89,25.24,25.48,25.91,26.64,27.48,1554.568,0
"2019-03-01 15:00:00",26.16,26.49,26.87,26.82,27.13,27.54,1609.07,26.456
"2019-03-01 16:00:00",23.13,24.19,24.53,25.2,26.62,26.98,1512.027,24.533
"2019-03-01 17:00:00",21.95,22.15,22.36,22.41,22.62,23.09,1344.672,0
"2019-03-01 18:00:00",22.59,22.71,22.79,22.81,22.89,23.04,1368.709,0
"2019-03-01 19:00:00",22.96,23.07,23.22,23.21,23.34,23.47,1392.565,0
"2019-03-01 20:00:00",22.53,22.8,22.93,22.88,22.99,23.07,1372.625,23.03
"2019-03-01 21:00:00",22.37,22.44,22.49,22.49,22.53,22.61,1349.219,22.528
"2019-03-01 22:00:00",22.05,22.18,22.29,22.28,22.38,22.43,1336.606,0
"2019-03-01 23:00:00",21.82,21.94,21.97,21.97,22.01,22.07,1317.901,21.966
"2019-03-02 00:00:00",21.48,21.57,21.61,21.64,21.74,21.84,1298.247,21.585
"2019-03-02 01:00:00",21.2,21.32,21.44,21.41,21.5,21.62,1284.551,21.344
"2019-03-02 02:00:00",21.15,21.19,21.22,21.25,21.32,21.4,1274.738,21.204
"2019-03-02 03:00:00",21.08,21.13,21.16,21.16,21.18,21.24,1269.599,21.144
"2019-03-02 04:00:00",21.26,21.28,21.3,21.32,21.37,21.42,1279.419,21.284
"2019-03-02 05:00:00",21.34,21.4,21.44,21.43,21.46,21.53,1285.924,21.445
"2019-03-02 06:00:00",21.42,21.46,21.48,21.49,21.5,21.61,1289.505,21.464
"2019-03-02 07:00:00",21.22,21.36,21.38,21.38,21.4,21.52,1282.918,21.365
"2019-03-02 08:00:00",21.07,21.1,21.16,21.17,21.24,21.32,1270.411,21.104
"2019-03-02 09:00:00",21.05,21.13,21.22,21.22,21.3,21.42,1273.433,21.305
"2019-03-02 10:00:00",21.08,21.16,21.26,21.29,21.39,21.58,1277.612,21.144
"2019-03-02 11:00:00",21.5,21.87,22.15,22.25,22.63,23.16,1335.187,21.526
"2019-03-02 12:00:00",23.15,23.53,23.95,23.87,24.14,24.61,1432.03,24.032
"2019-03-02 13:00:00",24.31,24.89,25.04,25.02,25.19,25.47,1501.446,0
"2019-03-02 14:00:00",25.47,25.76,25.93,25.93,26.08,26.46,1555.931,25.955
"2019-03-02 15:00:00",26.46,26.91,26.99,27.1,27.16,28.06,1625.784,26.917
"2019-03-02 16:00:00",23.17,26.42,27.13,26.63,27.2,27.78,1598.094,27.158
"2019-03-02 17:00:00",22.65,23.69,24.13,24.14,24.94,25.5,1448.259,0
"2019-03-02 18:00:00",24.85,25.17,25.34,25.37,25.6,25.95,1522.179,25.134
"2019-03-02 19:00:00",24.6,24.74,24.94,25.03,25.31,25.49,1501.891,24.754
"2019-03-02 20:00:00",23.29,23.57,23.96,24.07,24.51,24.92,1444.032,23.331
"2019-03-02 21:00:00",22.71,22.78,22.85,22.96,23.17,23.45,1354.402,0
