"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",94.71,94.71,94.71,94.71,94.71,94.71,94.71,94.71
"2019-03-01 10:00:00",93.07,93.63,93.88,93.94,94.26,94.91,5636.46,93.63
"2019-03-01 11:00:00",86.57,88.2,89.58,89.91,91.84,93.58,5394.5,89.58
"2019-03-01 12:00:00",81.63,84.27,85.35,85.24,86.54,88.16,5114.22,0
"2019-03-01 13:00:00",72.83,77.45,78.4,78.82,80.48,86,4729.02,0
"2019-03-01 14:00:00",69.19,71.48,72.47,72.68,74.13,77.8,4360.9,0
"2019-03-01 15:00:00",64.4,65.94,67.21,67.33,68.56,72.67,4039.65,0
"2019-03-01 16:00:00",65.54,67.54,83.58,78.73,87.73,89.54,4723.86,0
"2019-03-01 17:00:00",88.89,90.82,92.05,92.41,94.19,95.46,5544.41,0
"2019-03-01 18:00:00",86.18,88.2,88.9,88.81,89.47,91.3,5328.8,88.9
"2019-03-01 19:00:00",85.8,87.8,88.83,88.43,89.4,90,5305.64,0
"2019-03-01 20:00:00",88.87,89.56,90.69,90.83,92.25,93.11,5450.01,91.48
"2019-03-01 21:00:00",92.62,93.31,93.51,93.52,93.76,94.39,5610.92,93.5
"2019-03-01 22:00:00",94.26,95.39,95.76,95.64,96.01,96.47,5738.64,0
"2019-03-01 23:00:00",95.37,95.68,95.8,95.85,96.04,96.51,5751.19,0
"2019-03-02 00:00:00",94.04,94.59,94.88,94.87,95.22,95.8,5692.4,95.25
"2019-03-02 01:00:00",94.23,94.71,95.06,95.02,95.36,95.74,5701.33,0
"2019-03-02 02:00:00",94.48,94.92,95.2,95.26,95.68,95.95,5715.73,0
"2019-03-02 03:00:00",95.05,95.55,95.65,95.65,95.82,96,5738.78,0
"2019-03-02 04:00:00",94.42,94.66,94.81,94.79,94.89,95.14,5687.45,94.89
"2019-03-02 05:00:00",94.4,94.68,94.93,94.91,95.11,95.48,5694.83,0
"2019-03-02 06:00:00",94.45,94.76,94.92,94.9,95.04,95.47,5694.18,95.01
"2019-03-02 07:00:00",94.53,95.53,95.84,95.73,96.02,96.24,5743.61,0
"2019-03-02 08:00:00",94.56,95.04,95.27,95.23,95.43,95.63,5713.61,95.33
"2019-03-02 09:00:00",87.72,89.07,91.7,91.84,94.88,95.82,5510.64,0
"2019-03-02 10:00:00",86.18,88.9,90.42,89.92,91,91.53,5394.9,0
"2019-03-02 11:00:00",82.74,85.58,87.3,87.23,89.02,91.41,5233.53,84.42
"2019-03-02 12:00:00",77.29,79.01,80.24,80.71,82.93,84.42,4842.77,79.26
"2019-03-02 13:00:00",73.45,74.56,75.38,75.62,76.54,78.78,4537.1,75.36
"2019-03-02 14:00:00",70.04,71.92,72.66,72.78,73.68,77.04,4366.58,0
"2019-03-02 15:00:00",62.68,66.46,67.88,67.59,68.85,71.63,4055.14,0
"2019-03-02 16:00:00",64.99,66.39,67.52,71.14,74.92,90.51,4268.16,0
"2019-03-02 17:00:00",73.56,78.92,82.21,82.53,87.1,91.29,4951.98,0
"2019-03-02 18:00:00",70.22,73.47,74.52,75.17,77.61,80.43,4510.24,74.26
"2019-03-02 19:00:00",70.51,72.71,74.72,74.27,75.76,77.2,4455.94,0
"2019-03-02 20:00:00",75.24,78.86,85.72,83.96,87.08,90.34,5037.82,0
"2019-03-02 21:00:00",90.5,91.76,92.33,92.17,92.66,93.22,5438.11,0
"2019-03-02 22:00:00",88.82,90.66,91.95,91.57,92.6,93.34,5494.48,91.95
"2019-03-02 23:00:00",90.86,91.54,91.98,92.03,92.54,93.1,5521.71,0
"2019-03-03 00:00:00",92.83,94.26,94.45,94.47,94.74,95.81,5668.32,94.31
"2019-03-03 01:00:00",94.97,95.14,95.33,95.32,95.44,95.8,5718.91,0
"2019-03-03 02:00:00",93.99,94.32,94.52,94.51,94.72,95.06,5670.82,0
"2019-03-03 03:00:00",95.11,95.4,95.54,95.59,95.79,96.1,5735.19,95.51
"2019-03-03 04:00:00",94.79,95.83,96.2,96.13,96.4,97.09,5767.93,0
"2019-03-03 05:00:00",96.54,96.68,97.01,96.96,97.23,97.41,5817.71,0
"2019-03-03 06:00:00",97.46,97.86,97.96,97.97,98.14,98.31,5877.99,98.25
"2019-03-03 07:00:00",97.61,97.79,98.13,98.05,98.23,98.32,5882.75,0
"2019-03-03 08:00:00",97.02,97.32,97.44,97.42,97.57,97.65,5845.38,97.64
"2019-03-03 09:00:00",96.08,97.12,97.31,97.17,97.38,97.5,5830.22,0
"2019-03-03 10:00:00",93.05,93.82,94.34,94.61,95.62,96.31,5676.39,94.34
"2019-03-03 11:00:00",85.82,88.39,89.8,90.01,91.97,94.18,5400.76,88.96
"2019-03-03 12:00:00",78.54,80.55,82.1,82.19,83.56,86.34,4931.31,0
"2019-03-03 13:00:00",69.26,71.11,73.79,73.75,75.4,81.12,4424.77,0
"2019-03-03 14:00:00",58.99,63.95,68.91,68.17,71.86,74.63,4090,71.09
"2019-03-03 15:00:00",56.36,59.3,60.6,60.55,61.86,64.94,3632.98,60.03
"2019-03-03 16:00:00",56.85,59.62,60.64,60.49,61.29,62.89,3629.26,61.24
"2019-03-03 17:00:00",61.08,63.88,65.95,66.44,68.72,73.78,3986.57,0
"2019-03-03 18:00:00",71.9,74.46,77.16,77,79.42,81.23,4620.12,74.16
"2019-03-03 19:00:00",77.45,79.28,80.02,79.91,80.49,81.89,4794.82,0
"2019-03-03 20:00:00",78.91,81.01,81.64,81.71,82.65,84.13,4902.64,0
"2019-03-03 21:00:00",80.39,87.49,92.47,90.63,94.37,95.57,5437.6,0
"2019-03-03 22:00:00",90.37,94.23,95.25,95.04,96.44,96.99,5702.23,0
"2019-03-03 23:00:00",94.04,94.85,95.12,95.12,95.41,96.15,5706.98,0
"2019-03-04 00:00:00",94.77,95.15,95.26,95.3,95.42,96.03,5717.76,0
"2019-03-04 01:00:00",92.85,95.3,95.56,95.25,95.76,96,5714.92,0
"2019-03-04 02:00:00",93.14,93.63,93.8,93.81,93.96,94.55,5628.53,93.91
"2019-03-04 03:00:00",93.52,93.94,94.48,94.48,94.96,95.65,5668.95,0
"2019-03-04 04:00:00",94.86,95.26,95.76,95.72,96.15,96.44,5743.2,0
"2019-03-04 05:00:00",93.94,94.62,94.92,94.91,95.18,95.59,5694.51,0
"2019-03-04 06:00:00",92.07,93.64,95.45,94.76,95.7,96.03,5685.37,0
"2019-03-04 07:00:00",92.77,93.58,94.18,93.97,94.4,94.74,5638.39,94.22
"2019-03-04 08:00:00",90.76,91.42,92.02,92.06,92.66,93.74,5523.55,91.19
"2019-03-04 09:00:00",90.37,91.05,91.59,91.56,92.08,92.66,5493.52,0
"2019-03-04 10:00:00",87.82,89.98,90.44,90.24,90.74,91.33,5414.39,0
"2019-03-04 11:00:00",82.97,84.7,85.19,85.75,86.89,89.37,5144.81,85.19
"2019-03-04 12:00:00",83.4,84.5,85.21,85.38,86.24,87.59,5122.91,0
"2019-03-04 13:00:00",73.47,76.84,80.37,80.2,82.74,87.46,4811.8,0
"2019-03-04 14:00:00",63.31,66.37,68.7,69.37,72.1,77.23,4162.05,0
"2019-03-04 15:00:00",66.66,70.9,71.74,71.42,72.61,74.32,4285.01,0
"2019-03-04 16:00:00",60.44,63.56,66.74,67.07,70.11,74.27,4024.4,61.24
"2019-03-04 17:00:00",52.91,61.36,63.88,62.68,65.15,66.22,3760.87,63.87
"2019-03-04 18:00:00",53.51,56.49,57.45,57.18,58.01,60.46,3430.95,57.45
"2019-03-04 19:00:00",57.67,58.99,59.88,60.34,61.77,63.82,3620.28,0
"2019-03-04 20:00:00",59.13,62.37,63.51,63.22,64.57,65.3,3793.05,0
"2019-03-04 21:00:00",64.81,68.82,71.86,70.54,72.56,74.66,4232.65,0
"2019-03-04 22:00:00",72.62,77.4,78.32,78.16,80.06,82.12,4689.4,0
"2019-03-04 23:00:00",80.94,83.76,84.58,84.51,85.29,86.23,5070.58,85.04
"2019-03-05 00:00:00",85.12,85.85,86.8,86.95,87.99,88.48,5217.11,88.28
"2019-03-05 01:00:00",83.74,85.57,86.69,86.77,87.68,89.99,5206.17,85.41
"2019-03-05 02:00:00",85.11,85.86,86.38,86.31,86.75,87.41,5178.69,0
"2019-03-05 03:00:00",86.96,87.4,88.8,88.86,90.33,91.12,5331.73,87.36
"2019-03-05 04:00:00",90.81,92.02,92.68,92.58,93.13,94.37,5554.66,0
"2019-03-05 05:00:00",92.15,92.56,92.78,92.74,92.9,93.52,5564.19,92.78
"2019-03-05 06:00:00",90.26,90.8,90.98,91.05,91.22,92.3,5463.11,0
"2019-03-05 07:00:00",90.01,90.88,91.18,91.51,92.19,93.21,5490.32,0
"2019-03-05 08:00:00",93.58,94.08,94.7,94.65,95.26,95.43,5679.2,0
"2019-03-05 09:00:00",91.23,93.41,94.06,93.92,94.34,94.98,5635.04,94.17
"2019-03-05 10:00:00",67.57,71,72.92,74.08,75.07,91.18,4445.08,72.91
"2019-03-05 11:00:00",63.97,66.58,67.68,67.69,68.52,72.7,4061.43,67.68
"2019-03-05 12:00:00",60.06,61.54,63.71,63.73,65.8,68.9,3823.65,0
"2019-03-05 13:00:00",47.93,51.96,55.64,55.18,58.72,62.35,3310.87,0
"2019-03-05 14:00:00",40.95,44.64,46.2,46.7,48.9,51.7,2802.06,47.83
"2019-03-05 15:00:00",42.18,45.05,47.2,46.92,48.44,52.69,2814.95,46.33
"2019-03-05 16:00:00",49.42,51.7,52.69,52.54,53.51,55.12,3152.62,0
"2019-03-05 17:00:00",51.69,55.86,60.22,60.36,65.37,68.24,3621.74,0
"2019-03-05 18:00:00",51.46,53.14,53.7,53.87,54.58,57.28,3232.47,53.83
"2019-03-05 19:00:00",53.62,55.56,57.78,57.7,59.41,62.76,3462.25,0
"2019-03-05 20:00:00",60.12,61.57,62.7,63.88,66.57,69.2,3833.05,0
"2019-03-05 21:00:00",67.9,72.3,75.12,74.97,77.93,79.97,4498.41,0
"2019-03-05 22:00:00",78.46,79.37,80.85,80.41,81.36,81.95,4824.76,0
"2019-03-05 23:00:00",81.13,82.87,85.82,84.77,86.25,87.45,5086.31,0
"2019-03-06 00:00:00",86.5,86.93,87.57,87.63,88.28,89.06,5257.6,86.93
"2019-03-06 01:00:00",87.19,87.85,88.25,88.43,88.87,90.7,5305.78,0
"2019-03-06 02:00:00",89.17,89.62,90.31,90.23,90.76,91.24,5414.07,90.86
