"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",96.08,96.08,96.08,96.08,96.08,96.08,96.083,96.083
"2019-03-01 10:00:00",95,95.28,95.63,95.63,95.92,96.42,5738.05,0
"2019-03-01 11:00:00",88.47,89.88,91.28,91.94,94.45,95.78,5516.677,0
"2019-03-01 12:00:00",84.67,86.78,88.17,87.86,88.83,90.18,5271.355,0
"2019-03-01 13:00:00",78.05,82.5,83.24,83.5,84.27,88.92,5010.136,0
"2019-03-01 14:00:00",71.27,74.47,77.66,76.91,79.2,81.9,4614.637,0
"2019-03-01 15:00:00",68.75,72.69,73.47,73.41,74.68,77.22,4404.758,0
"2019-03-01 16:00:00",68.78,72.74,86.37,81.98,89.61,91.88,4918.879,0
"2019-03-01 17:00:00",91.62,93.48,94.83,94.78,96.25,96.85,5686.69,0
"2019-03-01 18:00:00",89.41,91.08,91.81,91.67,92.34,93.16,5500.418,0
"2019-03-01 19:00:00",88.91,90.52,91.66,91.37,92.27,93.1,5482.248,90.537
"2019-03-01 20:00:00",92.23,92.88,93.62,93.73,94.74,95.38,5623.581,93.015
"2019-03-01 21:00:00",95.23,95.57,95.72,95.78,96.01,96.44,5746.925,0
"2019-03-01 22:00:00",96.37,97.17,97.53,97.38,97.72,97.83,5843.038,0
"2019-03-01 23:00:00",97.32,97.45,97.54,97.64,97.91,98.08,5858.491,97.486
"2019-03-02 00:00:00",96.59,96.74,97.07,97.14,97.54,97.98,5828.139,96.785
"2019-03-02 01:00:00",96.29,96.61,96.84,96.86,97.17,97.31,5811.605,97.042
"2019-03-02 02:00:00",96.72,96.89,97.12,97.18,97.54,97.71,5830.995,0
"2019-03-02 03:00:00",97.4,97.7,97.74,97.73,97.8,97.85,5863.745,97.796
"2019-03-02 04:00:00",96.67,96.81,96.86,96.89,96.95,97.36,5813.682,0
"2019-03-02 05:00:00",96.65,96.88,96.99,96.97,97.08,97.26,5818.407,96.927
"2019-03-02 06:00:00",96.62,96.83,96.99,96.95,97.09,97.18,5817.244,0
"2019-03-02 07:00:00",96.79,97.44,97.63,97.57,97.79,97.91,5854.037,97.855
"2019-03-02 08:00:00",96.66,96.97,97.26,97.22,97.48,97.63,5833.266,97.425
"2019-03-02 09:00:00",90.23,91.71,94.57,94.36,97.22,97.5,5661.845,0
"2019-03-02 10:00:00",89.49,91.91,93.13,92.73,93.86,94.26,5564.005,0
"2019-03-02 11:00:00",86.75,89.25,90.64,90.59,92.45,93.92,5435.497,0
"2019-03-02 12:00:00",80.45,83.32,84.21,84.49,85.79,87.81,5069.172,0
"2019-03-02 13:00:00",79.02,80.19,80.82,81.07,81.67,84.44,4864.404,0
"2019-03-02 14:00:00",76.18,77.75,78.62,78.65,79.56,82.78,4719.143,79.556
"2019-03-02 15:00:00",68.81,71.63,72.5,72.47,73.63,76.07,4347.954,0
"2019-03-02 16:00:00",70.38,71.64,72.79,75.63,78.73,91.91,4537.525,0
"2019-03-02 17:00:00",77.19,80.79,84.27,84.93,89.77,93.44,5095.591,0
"2019-03-02 18:00:00",76.22,78.97,79.88,79.91,80.93,83.96,4794.576,0
"2019-03-02 19:00:00",76.14,78.38,79.73,79.29,80.15,81.78,4757.376,77.773
"2019-03-02 20:00:00",80.17,83.24,88.54,87.42,90.11,93.1,5245.368,0
"2019-03-02 21:00:00",93.48,94.29,94.69,94.68,95.13,95.33,5585.888,0
"2019-03-02 22:00:00",92.63,93.5,94.16,94.12,94.82,95.41,5647.194,0
"2019-03-02 23:00:00",94.05,94.37,94.68,94.68,95.04,95.39,5681.066,94.169
"2019-03-03 00:00:00",95.04,96.3,96.65,96.49,96.84,97.42,5789.332,96.828
"2019-03-03 01:00:00",97.35,97.43,97.48,97.47,97.52,97.57,5848.497,97.408
"2019-03-03 02:00:00",96.55,96.73,96.8,96.86,96.98,97.41,5811.842,0
"2019-03-03 03:00:00",96.97,97.12,97.23,97.24,97.35,97.53,5834.153,0
"2019-03-03 04:00:00",96.72,97.13,97.34,97.35,97.52,98.1,5841.007,0
"2019-03-03 05:00:00",97.92,97.99,98.07,98.08,98.18,98.36,5884.978,98.048
"2019-03-03 06:00:00",98.39,98.68,98.92,98.87,99.06,99.22,5932.156,0
"2019-03-03 07:00:00",99.06,99.21,99.24,99.23,99.27,99.31,5953.693,0
"2019-03-03 08:00:00",98.82,98.89,98.91,98.91,98.93,99.04,5934.676,98.906
"2019-03-03 09:00:00",98.39,98.69,98.78,98.73,98.8,98.84,5923.64,98.792
"2019-03-03 10:00:00",95.24,95.77,96.18,96.55,97.46,98.36,5792.927,0
"2019-03-03 11:00:00",89.83,91.27,92.93,92.85,94.53,96.03,5570.965,0
"2019-03-03 12:00:00",83.09,84.29,85.44,85.68,86.45,91.08,5140.953,0
"2019-03-03 13:00:00",74.65,77.04,78.04,78.64,80.05,83.71,4718.276,76.794
"2019-03-03 14:00:00",65.76,69.54,75.33,73.5,76.93,79.12,4409.775,0
"2019-03-03 15:00:00",62.94,66.28,66.88,66.84,67.9,69.87,4010.501,0
"2019-03-03 16:00:00",63.15,64.42,65.03,65.27,66.26,67.22,3916.037,66.277
"2019-03-03 17:00:00",66.9,68.24,69.76,71,74.29,79.01,4259.936,0
"2019-03-03 18:00:00",77.39,79.08,80.98,81.12,83.15,85.19,4867.243,0
"2019-03-03 19:00:00",81.73,83.52,84.24,84.12,84.75,85.91,5047.231,84.509
"2019-03-03 20:00:00",83.73,85.04,85.59,85.6,86.26,87.58,5135.723,86.267
"2019-03-03 21:00:00",80.77,88.41,93.75,92.16,95.4,97,5529.531,0
"2019-03-03 22:00:00",92.6,96.19,97.08,96.77,98.09,98.44,5806.433,0
"2019-03-03 23:00:00",96.76,97.18,97.4,97.48,97.75,98.36,5848.571,97.562
"2019-03-04 00:00:00",97.19,97.28,97.43,97.44,97.57,97.83,5846.608,97.47
"2019-03-04 01:00:00",95.38,97.26,97.42,97.25,97.61,97.76,5834.811,97.75
"2019-03-04 02:00:00",95.45,95.65,96.05,95.94,96.13,96.48,5756.48,96.052
"2019-03-04 03:00:00",95.44,95.86,96.3,96.37,96.95,97.3,5782.141,97.181
"2019-03-04 04:00:00",96.51,97.08,97.43,97.4,97.8,97.99,5843.742,0
"2019-03-04 05:00:00",96.09,96.5,96.69,96.68,96.89,97.2,5801.084,96.81
"2019-03-04 06:00:00",94.16,95.72,97.23,96.62,97.45,97.61,5797.37,0
"2019-03-04 07:00:00",94.75,95.52,96.07,95.88,96.27,96.43,5752.928,96.279
"2019-03-04 08:00:00",93.65,94.02,94.37,94.49,94.94,95.62,5669.538,94.226
"2019-03-04 09:00:00",93.41,93.81,94.22,94.22,94.69,94.97,5653.443,0
"2019-03-04 10:00:00",91.22,92.84,93.21,93.03,93.39,93.65,5582.012,0
