"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",0,0,0,0,0,0,0,0
"2019-03-01 10:00:00",0,0.2307,0.3383,0.3015,0.3883,0.5075,18.0894791931137,0
"2019-03-01 11:00:00",0,0.03076,0.1692,0.1711,0.2768,0.5075,10.2656973080852,0
"2019-03-01 12:00:00",0.06151,0.273,0.3845,0.4036,0.5075,0.8305,24.2151697441062,0
"2019-03-01 13:00:00",0,0.273,0.3691,0.3517,0.4306,0.7536,21.102495915837,0
"2019-03-01 14:00:00",0,0.2115,0.323,0.32,0.4614,0.6922,19.20180885992,0
"2019-03-01 15:00:00",0,0.1969,0.3614,0.3758,0.5037,1.107,22.5494337825453,0
"2019-03-01 16:00:00",0,0.323,0.5383,0.5873,0.7882,1.584,35.2355265649374,0.569030169434866
"2019-03-01 17:00:00",0.6505,0.9227,1.115,1.142,1.292,1.999,68.5275971392453,0
"2019-03-01 18:00:00",0.2307,0.4114,0.5306,0.6261,0.7981,1.246,37.5686702022154,0
"2019-03-01 19:00:00",0.01538,0.223,0.3691,0.3427,0.4399,0.6305,20.5644897080223,0
"2019-03-01 20:00:00",0,0.1384,0.2153,0.244,0.3383,0.6151,14.6398906619818,0
"2019-03-01 21:00:00",0,0.1499,0.2461,0.2579,0.3537,0.692,15.4733679972057,0
"2019-03-01 22:00:00",0.1191,0.2883,0.3383,0.3253,0.3745,0.5075,19.516878239866,0
"2019-03-01 23:00:00",0.3075,0.4152,0.5151,0.5299,0.6459,0.9842,31.7963997332599,0
"2019-03-02 00:00:00",0.2768,0.5257,0.5921,0.6201,0.7381,0.9843,37.2082601437078,0
"2019-03-02 01:00:00",0.1692,0.3652,0.5152,0.4837,0.5997,0.7996,29.0191249491992,0.535773136842693
"2019-03-02 02:00:00",0.3075,0.4575,0.5075,0.5345,0.6062,0.8304,32.0682414726641,0.476731192887402
"2019-03-02 03:00:00",0.2768,0.4921,0.5536,0.5479,0.6151,0.8151,32.8747760412303,0.584360712695301
"2019-03-02 04:00:00",0.2922,0.4459,0.6382,0.6268,0.7689,1.076,37.6072221492349,0
"2019-03-02 05:00:00",0.2768,0.5536,0.692,0.6953,0.8342,1.23,41.7161773769046,0
"2019-03-02 06:00:00",0.3229,0.5229,0.6204,0.6287,0.7413,0.9227,37.724552471539,0
"2019-03-02 07:00:00",0.4921,0.7382,0.8305,0.8737,1.019,1.415,52.4236301306668,0
"2019-03-02 08:00:00",0,0.3714,0.5305,0.5666,0.7573,1.123,33.9931602949297,0
"2019-03-02 09:00:00",0.5536,0.7528,0.8611,0.8694,0.9765,1.376,52.1636140032226,0
"2019-03-02 10:00:00",0.3999,0.7228,0.9227,0.9193,1.069,1.476,55.1574535830382,0
"2019-03-02 11:00:00",0.5382,0.7382,0.8765,0.8609,0.9573,1.215,51.6541459466842,0
"2019-03-02 12:00:00",0.1999,0.519,0.669,0.6844,0.8497,1.246,41.0616392152226,0
"2019-03-02 13:00:00",0.01538,0.3038,0.4691,0.4351,0.549,0.7074,26.1089139490462,0.538289707858446
"2019-03-02 14:00:00",0.1846,0.4268,0.5075,0.5439,0.646,1.092,32.6345286746723,0.507555650521684
"2019-03-02 15:00:00",0.2461,0.6421,0.76,0.7944,0.9728,1.307,47.6669131865242,0
"2019-03-02 16:00:00",0.4849,0.7651,0.9382,0.9306,1.084,1.492,55.8379642325724,0
"2019-03-02 17:00:00",0.2922,0.6228,0.8689,0.815,0.9881,1.492,48.897062859058,0
"2019-03-02 18:00:00",0.1845,0.6881,0.8065,0.7876,0.9689,1.538,47.2543705351165,0
"2019-03-02 19:00:00",0.446,0.5998,0.7689,0.7748,0.9267,1.215,46.4896083558056,0
"2019-03-02 20:00:00",0.09227,0.3499,0.4537,0.4895,0.619,1.04,29.3729723734691,0
"2019-03-02 21:00:00",0.246,0.3537,0.446,0.5201,0.6612,0.9995,30.6834828368385,0
"2019-03-02 22:00:00",0,0.2307,0.3153,0.3702,0.4905,0.8919,22.2098498703216,0
"2019-03-02 23:00:00",0,0.1351,0.246,0.2511,0.3844,0.6305,15.0652439685073,0
"2019-03-03 00:00:00",0,0,0.1999,0.1547,0.2614,0.3998,9.28295712955979,0
"2019-03-03 01:00:00",0,0.1384,0.1999,0.2081,0.2653,0.4613,12.4867855695407,0
"2019-03-03 02:00:00",0,0.04672,0.1692,0.1709,0.2345,0.5786,10.2522746961456,0
"2019-03-03 03:00:00",0,0,0.1692,0.1759,0.3114,0.4921,10.5566667670317,0
"2019-03-03 04:00:00",0,0.1384,0.2922,0.2667,0.3998,0.569,16.0004278661669,0
"2019-03-03 05:00:00",0,0.07689,0.1768,0.1809,0.246,0.4306,10.8521179451518,0
"2019-03-03 06:00:00",0,0.1814,0.3076,0.3951,0.6305,0.9688,23.7045678207563,0
"2019-03-03 07:00:00",0.1538,0.3691,0.4497,0.4716,0.5728,0.8305,28.2937149582243,0.445974341733376
"2019-03-03 08:00:00",0,0.1653,0.2384,0.2582,0.3845,0.5843,15.4921508075522,0
"2019-03-03 09:00:00",0,0.1384,0.1845,0.2147,0.3153,0.5691,12.8813789937589,0
"2019-03-03 10:00:00",0.2307,0.4075,0.4844,0.4929,0.569,0.8458,29.5732544050246,0
"2019-03-03 11:00:00",0.2307,0.4614,0.5583,0.6072,0.6959,1.276,36.4334203664766,0
"2019-03-03 12:00:00",0.2922,0.5652,0.7151,0.731,0.8805,1.338,43.8629071257615,0
"2019-03-03 13:00:00",0.03076,0.323,0.446,0.4489,0.5575,0.9372,26.9342276897103,0
"2019-03-03 14:00:00",0.03076,0.2702,0.3845,0.3763,0.4614,0.7382,22.578691259086,0
"2019-03-03 15:00:00",0.09229,0.2576,0.3999,0.4017,0.5384,0.7845,24.0994905238558,0.53835245812415
"2019-03-03 16:00:00",0.0769,0.2769,0.4537,0.4752,0.646,1.077,28.5142621533103,0
"2019-03-03 17:00:00",0,0.1692,0.2691,0.2792,0.3268,0.9382,16.7515109512878,0
"2019-03-03 18:00:00",0.06151,0.3822,0.7152,0.6965,0.919,1.523,41.7891065887318,0
"2019-03-03 19:00:00",0,0.2922,0.4921,0.4639,0.6382,1.046,27.8330299048153,0
"2019-03-03 20:00:00",0,0.2884,0.4264,0.3848,0.5075,0.7074,23.0861979082798,0
"2019-03-03 21:00:00",0.1845,0.6036,0.7997,0.9218,1.077,2.399,55.306383380424,0
"2019-03-03 22:00:00",0.3441,0.6151,0.8708,0.9602,1.211,2.076,57.6097598147402,0
"2019-03-03 23:00:00",0,0.446,0.7287,0.739,1.042,1.415,44.3402413926685,0
"2019-03-04 00:00:00",0,0.2609,0.4455,0.5222,0.7768,1.507,31.3322098140253,0
"2019-03-04 01:00:00",0.6956,1.014,1.169,1.152,1.28,1.676,69.1273190026013,0
"2019-03-04 02:00:00",0.6152,0.8572,0.9766,0.9963,1.111,1.384,59.7754191679142,0
"2019-03-04 03:00:00",0.6612,0.9765,1.255,1.22,1.399,1.692,73.1864672140223,0
"2019-03-04 04:00:00",0.938,1.257,1.507,1.507,1.721,2.291,90.3918400680142,1.70700523904844
"2019-03-04 05:00:00",0.8918,1.209,1.422,1.437,1.649,2.476,86.230949282087,0
"2019-03-04 06:00:00",0.1076,0.7605,1.146,1.065,1.326,2.096,63.9137210949333,0
"2019-03-04 07:00:00",0.7228,1.499,1.745,1.718,1.991,2.445,103.068611607678,0
"2019-03-04 08:00:00",0.123,0.6767,1.03,1.045,1.361,2.03,62.6741475723458,0
"2019-03-04 09:00:00",0.1384,0.7343,0.915,0.8804,1.046,1.338,52.8233107181644,0
"2019-03-04 10:00:00",0.3537,0.642,0.8612,0.8511,0.9884,1.399,51.0673073657926,0.907342216306774
"2019-03-04 11:00:00",0.0769,0.4268,0.7996,0.7188,0.9691,1.323,43.1251768787733,0.599748611679136
"2019-03-04 12:00:00",0.4306,0.6386,0.7459,0.8024,0.9771,1.292,48.1427895898189,0
"2019-03-04 13:00:00",0,0.4921,0.6306,0.637,0.7843,1.092,38.2201104084187,0
"2019-03-04 14:00:00",0.06152,0.4422,0.5536,0.5341,0.6459,0.892,32.0433637429834,0
"2019-03-04 15:00:00",0.3845,0.6767,0.7754,0.7781,0.8767,1.23,46.6857142050291,0
"2019-03-04 16:00:00",0.5295,0.7344,0.8382,0.8666,0.969,1.246,51.9981863945714,0
"2019-03-04 17:00:00",0.7228,1.027,1.2,1.189,1.327,1.696,71.3431027886766,1.06118203960841
"2019-03-04 18:00:00",0.1384,0.7229,0.9151,0.9504,1.186,1.753,57.022448007725,0.707454693072272
"2019-03-04 19:00:00",0.6459,0.9689,1.117,1.108,1.25,1.523,66.4615217565616,0.907372432342084
"2019-03-04 20:00:00",0.4614,0.6421,0.7535,0.7457,0.8341,1.123,44.7439982346628,0.615177993975889
"2019-03-04 21:00:00",0,0.1538,0.2384,0.3002,0.4076,0.8612,18.0141963008683,0
"2019-03-04 22:00:00",0,0.218,0.2768,0.2704,0.3422,0.5229,16.2252879750068,0
"2019-03-04 23:00:00",0,0.1615,0.2614,0.2228,0.3076,0.4152,13.3668289071961,0
"2019-03-05 00:00:00",0,0,0.1384,0.136,0.2038,0.4767,8.16210439938942,0
"2019-03-05 01:00:00",0.2307,0.3383,0.3845,0.4012,0.4614,0.769,24.0707233585771,0
"2019-03-05 02:00:00",0,0.1538,0.2461,0.246,0.3383,0.569,14.7588799358112,0
"2019-03-05 03:00:00",0,0,0.1076,0.1305,0.1999,0.4614,7.82733966096026,0
"2019-03-05 04:00:00",0,0,0.1318,0.1334,0.2153,0.4306,8.00247675422947,0
"2019-03-05 05:00:00",0.123,0.2576,0.3229,0.3297,0.3845,0.6305,19.7846375711191,0
"2019-03-05 06:00:00",0,0.2153,0.3845,0.3332,0.4614,0.6459,19.9921168485493,0
"2019-03-05 07:00:00",0,0.1499,0.2614,0.2753,0.3922,0.7382,16.5187521337162,0
"2019-03-05 08:00:00",0,0.1192,0.3537,0.2952,0.446,0.692,17.7135120634669,0
"2019-03-05 09:00:00",0,0,0.08458,0.1324,0.2345,0.4379,7.94486915487119,0
"2019-03-05 10:00:00",0,0.04613,0.2153,0.2386,0.3614,0.6767,14.3175930066454,0
"2019-03-05 11:00:00",0.03076,0.2307,0.3614,0.4153,0.5921,1.126,24.9153681841031,0
"2019-03-05 12:00:00",0.1538,0.523,0.6591,0.6771,0.8151,1.107,40.6289558063664,0
"2019-03-05 13:00:00",0.06153,0.3691,0.5306,0.5601,0.7076,1.261,33.6038973536923,0.584467754507088
"2019-03-05 14:00:00",0.1999,0.4691,0.6102,0.6269,0.7383,1.569,37.615887553322,0
"2019-03-05 15:00:00",0.3845,0.6306,0.8228,0.8063,0.9421,1.169,48.3787156589697,0
"2019-03-05 16:00:00",0.3845,0.5652,0.646,0.6699,0.7422,1.154,40.1959505150942,0
"2019-03-05 17:00:00",0.4153,0.7382,0.892,0.9216,1.107,1.538,55.2954276924472,0
"2019-03-05 18:00:00",0.2769,0.4306,0.4999,0.5213,0.6152,0.7383,31.2808808455456,0
"2019-03-05 19:00:00",0.5075,0.6729,0.8306,1.04,1.457,1.953,62.3719713866745,0
"2019-03-05 20:00:00",0.5383,1.223,1.476,1.445,1.705,1.999,86.6743817614697,0
"2019-03-05 21:00:00",0.5844,0.7536,0.8535,0.8955,1.004,1.446,53.7325230653457,0
"2019-03-05 22:00:00",0,0.2422,0.3306,0.4028,0.5614,1.015,24.1670996173913,0
"2019-03-05 23:00:00",0,0.06536,0.2076,0.1842,0.2807,0.4153,11.0525629584311,0
"2019-03-06 00:00:00",0,0,0.09227,0.1042,0.1999,0.3384,6.25303877752496,0
"2019-03-06 01:00:00",0,0.02691,0.123,0.1362,0.2038,0.4767,8.17384469323547,0
"2019-03-06 02:00:00",0,0.06152,0.1845,0.1809,0.3075,0.3998,10.8518758947512,0
"2019-03-06 03:00:00",0,0.1807,0.3306,0.2828,0.3998,0.5382,16.9683555037278,0
"2019-03-06 04:00:00",0,0,0.03076,0.1026,0.2033,0.3691,6.15501936905573,0
"2019-03-06 05:00:00",0,0,0.09227,0.1024,0.1692,0.3998,6.14424224309544,0
"2019-03-06 06:00:00",0,0.1692,0.2307,0.2171,0.2768,0.3691,13.0230928028572,0.215290788887742
"2019-03-06 07:00:00",0,0,0.007688,0.06876,0.1538,0.2502,4.12554250836595,0
"2019-03-06 08:00:00",0,0,0.1486,0.1445,0.2614,0.4767,8.66844366681781,0
"2019-03-06 09:00:00",0,0.1076,0.2461,0.2367,0.3537,0.5228,14.2006027981836,0
"2019-03-06 10:00:00",0,0.2153,0.3383,0.3256,0.446,0.6305,19.5342069597441,0.445981767337228
"2019-03-06 11:00:00",0,0.2115,0.323,0.3401,0.4306,0.8766,20.4037739840964,0
"2019-03-06 12:00:00",0.0769,0.3614,0.5229,0.5363,0.7047,1.154,32.1791986420685,0.446026326153674
"2019-03-06 13:00:00",0.2153,0.5691,0.7998,0.7635,0.9575,1.4,45.8095744270724,0.969018287228599
"2019-03-06 14:00:00",0.1077,0.4615,0.5384,0.5903,0.746,1.154,34.8288090358156,0
"2019-03-06 15:00:00",0.2461,0.5076,0.6902,0.7113,0.8652,1.246,42.6756035115096,0
"2019-03-06 16:00:00",0.1384,0.4153,0.6306,0.6377,0.8613,1.477,38.2621610029571,0
"2019-03-06 17:00:00",0.3285,0.5614,0.6845,0.6917,0.8651,1.092,41.499306181963,0.569124933564537
"2019-03-06 18:00:00",0.2346,0.4768,0.6537,0.6673,0.8345,1.123,40.0399495048885,0
"2019-03-06 19:00:00",0.1999,0.446,0.698,0.8371,1.265,1.969,50.2270076893841,0
"2019-03-06 20:00:00",0.1538,0.3999,0.4845,0.4793,0.5691,0.8152,28.7608653298787,0.446041181071199
"2019-03-06 21:00:00",0.1721,0.4268,0.9849,0.9249,1.369,2.292,55.4920119659195,0
"2019-03-06 22:00:00",0.2153,0.3614,0.546,0.6547,0.965,1.292,39.2800001320939,0
"2019-03-06 23:00:00",0,0.05767,0.1461,0.1636,0.2461,0.6305,9.81723748092476,0
"2019-03-07 00:00:00",0,0.08094,0.1845,0.1856,0.2807,0.4921,11.1382618943375,0
"2019-03-07 01:00:00",0,0.1153,0.2326,0.2265,0.3114,0.569,13.5879466654359,0
"2019-03-07 02:00:00",0.01538,0.1538,0.2614,0.2412,0.323,0.4921,14.4740734277547,0
"2019-03-07 03:00:00",0,0.02691,0.1384,0.1658,0.2614,0.6151,9.94595968179562,0
"2019-03-07 04:00:00",0,0.2025,0.3076,0.3762,0.5844,0.815,22.5690275978868,0
"2019-03-07 05:00:00",0.2307,0.3922,0.5229,0.5166,0.6178,0.9227,30.9982024890414,0.568963853318956
"2019-03-07 06:00:00",0.03076,0.2922,0.3998,0.3913,0.5075,0.769,23.4791656201197,0
"2019-03-07 07:00:00",0,0.06152,0.2076,0.2034,0.3076,0.5536,12.2038972531179,0
"2019-03-07 08:00:00",0.01538,0.2895,0.446,0.4414,0.5844,0.8151,26.4852033050378,0
"2019-03-07 09:00:00",0,0.2307,0.446,0.3784,0.5421,0.7074,22.7030025921836,0
"2019-03-07 10:00:00",0.1999,0.4268,0.6998,0.7484,1.004,1.646,44.9024499302314,0
"2019-03-07 11:00:00",0.6921,1.169,1.369,1.346,1.542,1.861,80.7368746880667,1.16883818855419
"2019-03-07 12:00:00",1.046,1.492,1.684,1.675,1.834,2.261,100.526010278298,1.7841053046147
"2019-03-07 13:00:00",0.8152,1.315,1.5,1.513,1.674,2.522,90.7940278215372,1.49188115989332
"2019-03-07 14:00:00",0.846,1.369,1.523,1.509,1.615,1.923,90.5267062067871,1.73793571015353
"2019-03-07 15:00:00",0.6922,1.307,1.4,1.401,1.542,1.876,84.0588272661854,0
"2019-03-07 16:00:00",0.3538,0.919,1.077,1.063,1.184,1.923,63.7683139179894,0
"2019-03-07 17:00:00",0.4768,0.7037,0.9536,1.327,2.084,3.138,79.6349304572651,0.845982434195093
"2019-03-07 18:00:00",1.031,1.657,1.869,1.924,2.219,2.799,115.427229346157,2.29149987150798
