"timestamp","min","q1","median","mean","q3","max","sum","mode"
"2019-03-01 10:00:00",0,0,0,0,0,0,0,0
"2019-03-01 10:00:00",0,0,0.35,0.38,0.575,1.025,22.8,0
"2019-03-01 11:00:00",0,0,0,0.1081,0.2375,0.7125,6.4875,0
"2019-03-01 12:00:00",0,0.2563,0.6188,0.6865,1.003,1.875,41.1874998,0
"2019-03-01 13:00:00",0,0.3094,0.5062,0.5175,0.7438,1.388,31.05,0
"2019-03-01 14:00:00",0,0,0.4125,0.4944,0.8156,1.7,29.6625,0
"2019-03-01 15:00:00",0,0,0.5,0.6052,0.9,2.4,36.3124999,0
"2019-03-01 16:00:00",0,0.5625,1.012,1.126,1.538,3.4,67.5875,0
"2019-03-01 17:00:00",1.475,2.128,2.5,2.53,2.825,4.225,151.775,2.075
"2019-03-01 18:00:00",0.2125,0.6844,1.075,1.239,1.753,2.825,74.3499999,0.675
"2019-03-01 19:00:00",0,0.1875,0.5,0.4565,0.7156,1.225,27.3875,0
"2019-03-01 20:00:00",0,0,0,0.2104,0.3375,1.225,12.625,0
"2019-03-01 21:00:00",0,0,0.2438,0.2354,0.3531,1.238,14.125,0
"2019-03-01 22:00:00",0,0,0.275,0.2885,0.4531,0.875,17.3124999,0
"2019-03-01 23:00:00",0,0.5188,0.9,0.851,1.156,1.838,51.0625,0.9125
"2019-03-02 00:00:00",0,0.7844,1.006,1.075,1.425,1.812,64.475,0
"2019-03-02 01:00:00",0,0.3719,0.75,0.6862,0.9281,1.475,41.175,0
"2019-03-02 02:00:00",0.2125,0.5875,0.7875,0.8454,1.059,1.688,50.725,0.5875
"2019-03-02 03:00:00",0.2375,0.7188,0.925,0.8827,1.059,1.4,52.9624998,0.95
"2019-03-02 04:00:00",0,0.5562,1.031,1.031,1.441,2.225,61.8499999,0
"2019-03-02 05:00:00",0.2125,0.85,1.262,1.227,1.562,2.462,73.6375,0
"2019-03-02 06:00:00",0,0.8969,1.05,1.093,1.425,1.85,65.5874999,0
"2019-03-02 07:00:00",0.85,1.403,1.725,1.737,1.972,2.688,104.2499999,0
"2019-03-02 08:00:00",0,0.275,0.9625,0.9265,1.428,2.375,55.5875,0
"2019-03-02 09:00:00",0.75,1.334,1.644,1.666,1.991,2.875,99.9875,1.75
"2019-03-02 10:00:00",0.375,1.463,1.806,1.814,2.259,3.325,108.85,0
"2019-03-02 11:00:00",0.825,1.478,1.762,1.738,2,2.6,104.275,1.8125
"2019-03-02 12:00:00",0.375,0.8219,1.256,1.288,1.738,2.5,77.2625,1.7375
"2019-03-02 13:00:00",0,0.425,0.8188,0.7779,1.116,1.488,46.675,0
"2019-03-02 14:00:00",0,0.6375,0.9375,0.9773,1.228,2.162,58.6375,0
"2019-03-02 15:00:00",0,1.069,1.525,1.517,1.984,2.75,91.0124998,0
"2019-03-02 16:00:00",0.625,1.453,1.994,1.917,2.341,2.95,115.0375,0
"2019-03-02 17:00:00",0,1.084,1.638,1.584,2.041,3.662,95.0125,0
"2019-03-02 18:00:00",0,1.366,1.681,1.66,1.975,3.662,99.575,1.575
"2019-03-02 19:00:00",0.4875,1.188,1.456,1.572,1.916,2.725,94.3375,0
"2019-03-02 20:00:00",0,0.5375,0.825,0.92,1.241,2.162,55.2,0
"2019-03-02 21:00:00",0,0.4188,0.7375,0.9392,1.469,2.188,55.4124999,0
"2019-03-02 22:00:00",0,0,0.55,0.5962,1.131,1.888,35.7749999,0
"2019-03-02 23:00:00",0,0,0.225,0.2967,0.4656,1.375,17.7999999,0
"2019-03-03 00:00:00",0,0,0,0.08688,0,0.7125,5.2125,0
"2019-03-03 01:00:00",0,0,0,0.1235,0.05312,1.212,7.4125,0
"2019-03-03 02:00:00",0,0,0,0.1088,0,0.9875,6.525,0
"2019-03-03 03:00:00",0,0,0,0.174,0.3438,1.038,10.4375,0
"2019-03-03 04:00:00",0,0,0.225,0.2804,0.525,0.9875,16.825,0
"2019-03-03 05:00:00",0,0,0,0.1206,0,0.875,7.2374999,0
"2019-03-03 06:00:00",0,0,0.2562,0.5638,1.112,2.013,33.825,0
"2019-03-03 07:00:00",0,0.4469,0.7875,0.8381,1.109,1.938,50.2874999,0
"2019-03-03 08:00:00",0,0,0,0.2231,0.4625,1.262,13.3875,0
"2019-03-03 09:00:00",0,0,0,0.1285,0,0.9625,7.7124999,0
"2019-03-03 10:00:00",0,0.4969,0.7375,0.7927,1.138,1.45,47.5624999,0.4125
"2019-03-03 11:00:00",0,0.6625,0.95,1.041,1.312,2.538,62.4374999,0
"2019-03-03 12:00:00",0.2125,0.9719,1.319,1.341,1.644,2.712,80.4875,1.275
"2019-03-03 13:00:00",0,0.4,0.725,0.744,1.016,1.738,44.6374997,0
"2019-03-03 14:00:00",0,0.3,0.5188,0.569,0.8125,1.412,34.1375,0
"2019-03-03 15:00:00",0,0.3688,0.6625,0.7054,1.1,1.612,42.325,0
"2019-03-03 16:00:00",0,0.4312,0.7312,0.8235,1.297,2.1,49.4125,0
"2019-03-03 17:00:00",0,0,0.2188,0.319,0.4562,1.725,19.1374998,0
"2019-03-03 18:00:00",0,0.5594,1.594,1.476,2.097,3.5,88.5625,0
