"x","y","z"
950,949.5,"AP"
950.3,949.6,"AP"
950.7,950,"AP"
950.9,950.2,"AP"
950.7,950.1,"AP"
950.5,950,"AP"
950,949.5,"AP"
949.4,948.9,"AP"
949.1,948.4,"AP"
948.8,948.2,"AP"
948.6,948,"AP"
948.9,948.3,"AP"
949.6,948.9,"AP"
950,949.3,"AP"
950.7,949.9,"AP"
951.3,950.5,"AP"
951.7,951,"AP"
951.5,950.7,"AP"
951,950.2,"AP"
950.5,949.8,"AP"
949.9,949.2,"AP"
949.9,949.1,"AP"
949.9,949.1,"AP"
950.1,949.4,"AP"
950.5,949.8,"AP"
951.1,950.4,"AP"
951.6,951,"AP"
951.8,951.1,"AP"
951.6,951.1,"AP"
951.4,950.8,"AP"
950.7,950.2,"AP"
949.9,949.4,"AP"
949.5,948.9,"AP"
948.9,948.3,"AP"
948.7,948.2,"AP"
948.9,948.3,"AP"
948.9,948.3,"AP"
949.6,949,"AP"
950.5,949.7,"AP"
951.3,950.5,"AP"
951.3,950.6,"AP"
951.1,950.4,"AP"
950.9,950.2,"AP"
950.4,949.6,"AP"
949.9,949.1,"AP"
949.6,948.9,"AP"
949.8,949.1,"AP"
950.1,949.4,"AP"
950.6,949.9,"AP"
951.1,950.4,"AP"
951.5,950.8,"AP"
951.7,951.1,"AP"
951.6,951,"AP"
951.3,950.7,"AP"
950.5,950,"AP"
949.7,949.3,"AP"
949.2,948.7,"AP"
949,948.4,"AP"
948.8,948.3,"AP"
949.5,948.9,"AP"
950.1,949.4,"AP"
951.2,950.4,"AP"
952.2,951.4,"AP"
953,952.2,"AP"
952.8,951.9,"AP"
952.6,951.8,"AP"
952.1,951.3,"AP"
951.3,950.5,"AP"
950.6,949.9,"AP"
949.8,949.1,"AP"
949,948.2,"AP"
949.7,949,"AP"
951.1,950.3,"AP"
952.1,951.4,"AP"
953.2,952.5,"AP"
953.4,952.7,"AP"
953.3,952.6,"AP"
953.2,952.7,"AP"
953,952.4,"AP"
952.4,951.8,"AP"
951.7,951.2,"AP"
951.1,950.6,"AP"
950.6,950.1,"AP"
950.6,950.1,"AP"
951.2,950.7,"AP"
952.2,951.7,"AP"
953,952.4,"AP"
953.7,953,"AP"
